学生名称,第一阶段期望好感值,第二阶段期望好感值,第三阶段期望好感值,完整三阶段期望好感值,每枚制造石期望好感值,240好感值礼物,180好感值礼物,120好感值礼物,80好感值礼物,60好感值礼物,40好感值礼物,20好感值礼物
爱露,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
艾米,14.881187,13.739582,50.413437,79.034206,79.034206,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,发条音乐盒、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛,其他金礼物
晴奈,13.429364,12.985223,49.507375,75.921962,75.921962,音乐演奏会门票、清新的花束、美丽花束,,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,,其他金礼物
日富美,13.79232,12.990144,50.009906,76.79237,76.79237,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,波浪猫枕头,其他金礼物
日奈,13.429364,12.37641,49.507375,75.313149,75.313149,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,世界上最没用的机器、初音未来的拍立得、闪烁的花束,,其他金礼物
星野,13.429364,12.37641,51.715499,77.521273,77.521273,蕾丝枕头、高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,,其他金礼物
伊织,14.881187,13.673039,50.413437,78.967663,78.967663,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,MX-野外战口粮 C型 甜品风味、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、高级曲奇礼盒套装、抹茶味弹珠汽水、大型蛋糕,其他金礼物
真纪,14.881187,13.534128,50.413437,78.828752,78.828752,清新的花束、美丽花束,桌游《人生》,其他紫礼物,,绘画颜料30色套装、初音未来的拍立得、闪烁的花束,天体望远镜、装扮用圈圈眼镜、蝴蝶结玩具熊、益智魔方,其他金礼物
妮露,14.881187,13.534128,50.413437,78.828752,78.828752,清新的花束、美丽花束,桌游《人生》,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方,其他金礼物
泉,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,抹茶味弹珠汽水、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、大型蛋糕,其他金礼物
白子,13.79232,13.000686,48.905844,75.69885,75.69885,清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,健身圈,其他金礼物
瞬,14.155275,13.151442,49.408375,76.715092,76.715092,清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,樱桃唇彩、迷彩伪装用粉底液3件套,其他金礼物
堇,13.79232,13.000686,48.905844,75.69885,75.69885,清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,健身圈、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮,其他金礼物
鹤城,13.429364,12.308764,49.507375,75.245503,75.245503,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、初音未来的拍立得、闪烁的花束",,其他金礼物
茜,13.429364,12.985223,48.403313,74.8179,74.8179,清新的花束、美丽花束,针线套装,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,,其他金礼物
千世,15.244143,13.739,50.915968,79.899111,79.899111,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
明里,13.79232,12.890329,50.009906,76.692555,76.692555,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高档自助餐招待券、初音未来的拍立得、闪烁的花束,大型蛋糕,其他金礼物
莲见,14.881187,13.739582,50.413437,79.034206,79.034206,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,大型蛋糕、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、高档自助餐招待券,其他金礼物
野宫,14.155275,13.151442,49.408375,76.715092,76.715092,清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
佳代子,14.155275,13.309257,49.408375,76.872907,76.872907,清新的花束、美丽花束,A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、发条音乐盒,其他金礼物
睦月,15.970054,14.72541,51.92103,82.616494,82.616494,清新的花束、美丽花束,桌游《人生》,其他紫礼物,装扮用圈圈眼镜,初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
纯子,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
芹香,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、发条音乐盒,其他金礼物
椿,13.79232,13.000686,51.113968,77.906974,77.906974,最高级枫树盆栽、清新的花束、美丽花束,蕾丝枕头,其他紫礼物,,波浪猫枕头、初音未来的拍立得、闪烁的花束,果冻抱枕,其他金礼物
优香,13.429364,12.335823,51.715499,77.480686,77.480686,A-Book Rare、营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,益智魔方、初音未来的拍立得、闪烁的花束,,其他金礼物
春香,14.155275,13.581215,49.408375,77.144865,77.144865,清新的花束、美丽花束,最高级枫树盆栽,其他紫礼物,,食虫植物盆栽、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、看似昂贵的贪婪之坛,其他金礼物
明日奈,14.155275,13.151442,51.616499,78.923216,78.923216,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
琴里,15.607098,14.337368,53.626622,83.571088,83.571088,A-Book Rare、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,百科全书、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、营养补充剂",其他金礼物
铃美,13.429364,12.335823,49.507375,75.272562,75.272562,音乐演奏会门票、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,,其他金礼物
菲娜,13.429364,12.579348,49.507375,75.516087,75.516087,针线套装、清新的花束、美丽花束,,其他紫礼物,,电影预售票、初音未来的拍立得、闪烁的花束,,其他金礼物
响,13.79232,13.000686,48.905844,75.69885,75.69885,清新的花束、美丽花束,A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版,其他金礼物
花凛,13.429364,12.335823,49.507375,75.272562,75.272562,针线套装、清新的花束、美丽花束,,其他紫礼物,,益智魔方、初音未来的拍立得、闪烁的花束,,其他金礼物
纱绫,13.79232,13.262933,48.905844,75.961097,75.961097,清新的花束、美丽花束,营养满分综合维他命果冻,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,百科全书,其他金礼物
爱理,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
风香,13.429364,12.985223,48.403313,74.8179,74.8179,清新的花束、美丽花束,针线套装,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,,其他金礼物
花江,14.155275,13.151442,49.408375,76.715092,76.715092,清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,樱桃唇彩、迷彩伪装用粉底液3件套,其他金礼物
晴,14.155275,13.124581,50.512437,77.792293,77.792293,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,游戏杂志《HIT GIRLS》、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、健身圈,其他金礼物
歌原,13.429364,12.335823,49.507375,75.272562,75.272562,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,天体望远镜、初音未来的拍立得、闪烁的花束,,其他金礼物
绫音,15.244143,13.739,50.915968,79.899111,79.899111,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,《枪、可爱、青春》、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
千夏,15.244143,13.739,53.124091,82.107234,82.107234,高级蛋形工艺品、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,《枪、可爱、青春》、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
小玉,14.881187,13.534128,50.413437,78.828752,78.828752,清新的花束、美丽花束,桌游《人生》,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,天体望远镜、装扮用圈圈眼镜、绘画颜料30色套装、益智魔方,其他金礼物
朱莉,13.429364,12.335823,49.507375,75.272562,75.272562,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,绘画颜料30色套装、初音未来的拍立得、闪烁的花束,,其他金礼物
芹娜,13.429364,12.579348,51.715499,77.724211,77.724211,莎姆艾菈【Beyond】、营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,果冻抱枕、初音未来的拍立得、闪烁的花束,,其他金礼物
志美子,15.244143,13.739,50.915968,79.899111,79.899111,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,"跳跃侦探兔
~由大雾引发的温泉滑倒事件~、初音未来的拍立得、闪烁的花束","无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、古典诗集、百科全书",其他金礼物
好美,14.518231,13.33602,49.910906,77.765157,77.765157,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
真白,13.79232,12.755038,50.009906,76.557264,76.557264,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,迷彩伪装用粉底液3件套、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味,其他金礼物
泉奈,13.429364,12.985223,48.403313,74.8179,74.8179,清新的花束、美丽花束,时髦梳子,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,,其他金礼物
静子,13.429364,12.985223,48.403313,74.8179,74.8179,清新的花束、美丽花束,营养满分综合维他命果冻,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,,其他金礼物
爱丽丝,14.155275,13.124581,50.512437,77.792293,77.792293,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,游戏杂志《HIT GIRLS》、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、健身圈,其他金礼物
绿,13.429364,12.579348,49.507375,75.516087,75.516087,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,果冻抱枕、初音未来的拍立得、闪烁的花束,,其他金礼物
桃,14.155275,13.262064,50.512437,77.929776,77.929776,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、健身圈,其他金礼物
切里诺,15.607098,14.511124,51.418499,81.536721,81.536721,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束,藏宝图、装扮用圈圈眼镜、世界上最没用的机器、大型蛋糕、食虫植物盆栽、发条音乐盒,其他金礼物
和香,14.881187,13.598188,50.413437,78.892812,78.892812,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,天体望远镜、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
柚子,14.518231,13.67861,49.910906,78.107747,78.107747,清新的花束、美丽花束,A-Book Rare,其他紫礼物,,Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、游戏杂志《HIT GIRLS》、健身圈,其他金礼物
梓,14.518231,13.749335,49.910906,78.178472,78.178472,清新的花束、美丽花束,时髦梳子,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,波浪猫枕头、佩洛洛健腹轮、刺绣手绢,其他金礼物
花子,15.970054,14.353729,51.92103,82.244813,82.244813,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、世界上最没用的机器、初音未来的拍立得、闪烁的花束","游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
小春,15.244143,13.989395,50.915968,80.149506,80.149506,清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、樱桃唇彩、初音未来的拍立得、闪烁的花束","让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、跳跃侦探兔
~由大雾引发的温泉滑倒事件~",其他金礼物
梓（泳装）,14.881187,14.366468,51.517499,80.765154,80.765154,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,蝴蝶结玩具熊、夏日泳圈、初音未来的拍立得、闪烁的花束,波浪猫枕头、佩洛洛健腹轮,其他金礼物
真白（泳装）,14.518231,13.947002,51.014968,79.480201,79.480201,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,MX-野外战口粮 C型 甜品风味、夏日泳圈、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套,其他金礼物
鹤城（泳装）,14.155275,13.545466,50.512437,78.213178,78.213178,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、夏日泳圈、初音未来的拍立得、闪烁的花束",,其他金礼物
日富美（泳装）,14.518231,14.212085,51.014968,79.745284,79.745284,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,佩洛洛健腹轮、夏日泳圈、初音未来的拍立得、闪烁的花束,波浪猫枕头,其他金礼物
日奈（泳装）,14.155275,13.612009,50.512437,78.279721,78.279721,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,世界上最没用的机器、夏日泳圈、初音未来的拍立得、闪烁的花束,,其他金礼物
伊织（泳装）,15.607098,14.887273,51.418499,81.91287,81.91287,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,MX-野外战口粮 C型 甜品风味、夏日泳圈、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、高级曲奇礼盒套装、抹茶味弹珠汽水、大型蛋糕,其他金礼物
